23 56,451 72,451 59,487 76,487
18 75,451 92,452 78,487 95,487
19 93,452 110,452 96,487 112,487
8 118,453 133,453 120,487 135,487
1 135,453 150,454 137,487 151,487
2 152,454 168,454 153,487 169,488
0 169,454 184,455 170,488 185,488
plate 52,436 188,441 58,496 188,496
20 209,57 224,55 221,81 235,81
30 225,55 240,54 236,81 251,81
28 241,54 259,52 252,81 268,80
1 267,52 285,50 276,80 293,80
1 288,50 308,48 295,80 314,80
3 310,48 332,46 316,79 336,79
9 335,46 360,44 339,79 361,79
plate 202,45 367,26 223,87 368,87
