20 353,144 358,143 357,153 362,153
14 359,143 365,142 363,153 369,153
16 365,142 372,141 369,153 376,153
8 376,141 385,140 379,153 388,152
2 386,139 395,138 389,152 397,152
5 396,138 409,136 399,152 410,152
8 410,136 423,134 412,151 424,151
plate 351,139 429,125 357,156 429,155
10 29,404 63,408 44,474 76,474
20 66,408 98,412 78,474 108,475
29 101,412 130,415 111,475 137,476
5 142,416 169,419 149,476 174,477
4 171,420 194,422 175,477 198,478
8 197,423 219,425 200,478 221,478
4 221,425 241,427 223,478 242,479
plate 17,373 247,406 44,491 247,492
