17 307,112 323,114 300,151 317,152
14 325,114 339,116 319,152 335,152
28 341,117 355,118 337,152 352,153
7 361,119 373,121 358,153 371,154
7 374,121 385,123 372,154 384,154
6 386,123 397,124 385,154 396,155
6 398,124 407,126 398,155 407,155
plate 307,98 410,116 295,163 410,164
18 59,214 82,219 46,274 72,275
17 85,219 105,223 74,275 97,276
13 107,223 125,226 99,276 120,277
6 133,228 149,231 127,278 145,278
8 150,231 165,234 147,279 163,279
4 166,234 180,236 164,279 178,280
7 181,237 193,239 180,280 193,281
plate 61,195 196,226 39,290 196,292
