15 320,62 350,64 330,119 357,120
31 352,64 379,66 360,120 386,120
27 382,66 407,68 388,120 412,121
3 419,69 442,70 423,121 445,121
4 444,70 467,72 447,121 469,122
9 469,72 489,74 471,122 491,122
4 492,74 512,75 493,122 512,122
plate 314,36 517,56 330,134 517,135
25 57,239 84,242 48,300 77,301
22 86,242 111,245 79,301 105,302
10 113,245 135,248 107,302 131,303
9 146,249 166,251 142,303 163,304
7 167,251 187,253 165,304 185,304
7 189,254 206,256 187,304 205,305
1 208,256 225,258 207,305 225,305
plate 59,215 229,240 43,318 229,319
