24 62,220 76,221 70,248 83,248
30 78,221 92,221 84,248 97,248
33 94,221 108,222 99,248 112,249
5 113,222 127,223 117,249 130,249
7 128,223 140,223 131,249 143,249
9 143,223 155,224 145,249 156,249
1 156,224 168,224 157,249 168,249
plate 57,208 171,213 70,255 171,256
32 210,168 220,167 219,186 228,186
14 221,166 233,165 230,186 241,186
27 234,165 247,163 242,186 255,185
1 254,162 269,160 261,185 276,185
3 271,160 289,158 278,185 295,184
4 292,158 314,155 297,184 317,184
0 315,155 341,152 319,184 343,183
plate 204,160 349,136 220,191 349,190
