10 68,155 82,154 80,179 93,178
13 83,154 99,152 94,178 109,178
21 100,152 116,151 110,178 125,178
2 124,150 143,148 133,177 150,177
8 145,148 165,146 152,177 171,177
1 167,146 190,144 173,177 194,176
5 193,144 218,141 196,176 219,176
plate 62,144 226,123 81,185 226,184
22 434,425 439,424 439,434 444,434
22 440,424 446,423 445,434 451,433
20 446,423 453,422 451,433 458,433
6 457,422 466,420 462,433 470,433
4 467,420 476,419 471,433 480,433
1 478,419 490,417 481,433 493,432
5 492,417 506,415 494,432 507,432
plate 431,421 512,405 440,436 512,436
