17 79,371 89,369 85,390 95,389
27 90,369 102,368 96,389 108,389
18 103,368 116,366 108,389 121,389
8 123,365 138,363 128,388 142,388
9 140,363 157,361 144,388 160,387
3 159,361 181,358 163,387 183,387
8 182,358 207,354 184,387 208,386
plate 75,363 214,339 85,394 215,394
26 127,224 138,222 116,248 127,247
25 139,222 152,219 129,247 141,246
24 153,219 168,217 143,246 158,246
7 175,215 192,212 165,245 183,244
5 194,212 215,208 185,244 208,243
3 217,208 242,204 210,243 237,242
4 245,203 275,198 240,241 273,240
plate 130,215 283,182 112,255 282,253
