28 21,425 57,430 28,501 63,502
16 61,430 93,434 66,503 97,504
20 95,435 125,438 100,504 128,504
4 138,440 164,443 141,505 166,506
4 167,443 191,446 169,506 192,506
0 193,447 215,449 194,506 216,507
1 218,450 238,452 218,507 238,508
plate 14,393 244,430 26,521 244,522
26 266,434 280,435 271,463 284,463
25 282,435 295,436 285,463 299,463
22 298,436 311,436 301,463 313,463
2 316,437 329,437 319,464 331,464
2 330,437 342,438 332,464 343,464
5 344,438 356,438 345,464 356,464
9 357,438 368,439 357,464 368,464
plate 263,422 371,429 271,471 371,471
