31 83,381 89,381 88,391 94,391
31 89,380 96,380 95,391 101,391
13 96,380 104,379 101,391 108,391
7 107,378 117,377 112,390 121,390
3 118,377 127,376 122,390 130,390
5 128,376 141,374 132,390 143,390
1 142,374 156,372 145,390 156,389
plate 80,376 161,362 89,394 161,393
24 242,147 256,148 235,182 250,182
16 258,148 271,149 252,182 266,183
14 273,150 287,151 269,183 283,183
3 292,151 305,152 289,183 302,183
9 306,152 318,153 303,183 316,184
5 319,153 330,154 317,184 329,184
4 332,154 342,155 331,184 342,184
plate 242,135 345,145 230,193 345,193
