23 25,372 51,373 20,429 46,430
18 53,373 79,374 48,430 75,430
14 81,374 105,375 77,430 102,430
0 116,376 140,377 113,430 137,431
8 141,377 164,378 139,431 162,431
8 166,378 188,379 165,431 187,431
3 190,379 211,380 189,431 210,431
plate 24,350 217,361 15,446 217,446
29 268,343 282,345 260,380 276,380
19 284,345 298,346 278,380 292,380
29 300,346 313,348 294,380 309,381
6 319,348 331,349 315,381 328,381
7 332,350 344,351 329,381 342,382
8 345,351 356,352 343,382 355,382
0 357,352 367,353 356,382 367,382
plate 268,331 370,343 255,390 370,391
