20 77,305 87,305 84,324 93,324
11 88,305 99,304 94,324 104,324
21 100,304 110,304 105,324 115,324
6 116,304 127,303 120,324 130,324
3 128,303 140,303 131,324 143,324
6 141,303 153,302 144,324 155,324
8 154,302 168,302 156,324 168,323
plate 73,297 170,293 84,328 171,328
33 193,322 223,326 205,382 232,383
33 226,326 253,329 235,383 260,384
18 256,330 280,333 263,384 286,384
7 290,334 313,336 295,385 316,385
0 315,337 335,339 318,385 337,386
9 337,339 355,341 339,386 357,386
7 357,341 375,344 358,386 375,387
plate 185,296 378,326 205,397 379,398
