12 79,286 91,286 67,316 80,316
14 92,286 105,285 82,316 96,316
20 106,285 120,285 97,316 112,315
2 126,284 139,284 119,315 133,315
3 141,284 154,283 135,315 150,315
0 156,283 171,282 152,315 169,315
5 172,282 188,282 170,315 187,314
plate 81,276 192,270 62,325 191,325
29 163,389 190,392 168,447 193,448
15 192,393 216,396 196,448 219,449
20 219,396 240,399 221,449 242,449
3 248,400 267,403 250,450 269,450
6 269,403 287,406 271,450 288,451
8 289,406 304,408 289,451 305,451
9 306,408 321,410 307,451 321,452
plate 159,366 324,395 166,461 325,462
