32 69,410 81,408 57,436 70,435
20 81,408 94,407 70,435 84,435
12 95,407 109,405 85,435 100,434
0 116,404 130,403 107,434 123,434
1 132,403 149,401 125,434 143,433
8 151,400 168,399 145,433 165,432
9 171,398 190,396 167,432 189,432
plate 72,400 196,383 52,444 196,443
28 329,224 346,224 314,263 332,263
19 347,224 365,223 334,263 353,263
24 366,223 384,222 355,263 374,263
4 392,222 411,221 383,263 403,262
3 412,221 431,220 405,262 426,262
0 433,220 453,220 428,262 450,262
0 455,219 475,219 452,262 474,262
plate 332,211 480,204 308,276 479,275
