25 30,349 43,346 11,380 24,379
21 45,346 60,343 26,379 42,379
24 61,343 79,340 43,378 61,377
9 88,338 109,334 71,377 93,376
9 111,334 136,329 96,376 123,374
4 138,329 168,324 126,374 159,372
9 172,323 208,316 163,372 205,370
plate 35,338 219,297 3,390 217,388
25 92,73 121,78 77,145 108,146
12 123,78 150,82 111,146 140,147
15 152,83 175,86 143,147 168,149
6 185,88 207,91 179,149 202,150
1 208,92 227,95 204,150 224,151
0 229,95 247,98 227,151 245,152
5 248,98 264,101 247,152 264,153
plate 94,47 269,83 68,167 268,168
