21 66,437 79,435 56,465 70,465
12 80,435 96,432 71,465 87,464
30 97,432 113,430 88,464 105,463
7 122,428 142,426 114,463 134,462
1 143,425 167,422 136,462 161,461
2 169,421 194,418 163,461 190,460
4 198,417 228,413 195,460 227,458
plate 68,426 238,394 52,474 237,472
26 331,480 338,480 337,493 344,492
15 339,480 347,479 344,492 352,492
26 347,479 355,478 352,492 360,492
8 359,478 369,477 364,492 373,492
9 370,477 380,476 374,492 383,492
0 381,476 393,475 384,492 394,491
5 394,475 406,474 396,491 406,491
plate 328,474 410,464 338,496 410,495
