17 132,412 141,411 135,431 144,431
10 142,411 153,411 145,431 155,431
17 154,411 164,411 156,431 166,431
0 169,411 179,410 171,431 181,431
7 180,410 192,410 182,431 193,431
2 193,410 204,409 194,431 205,431
3 206,409 218,409 206,431 218,431
plate 130,404 220,400 134,436 221,435
33 62,190 83,193 55,237 77,238
29 84,193 103,195 78,238 99,238
18 104,195 122,197 100,238 119,239
4 130,198 145,199 127,239 143,239
0 147,200 162,201 145,240 160,240
3 163,201 177,203 162,240 176,240
9 178,203 191,204 178,240 191,241
plate 62,172 195,190 50,251 195,252
