24 292,366 308,369 285,407 302,408
23 310,369 324,371 305,408 320,409
30 327,372 341,374 322,409 337,410
4 346,375 358,377 343,410 356,411
9 359,377 370,379 357,411 369,411
3 371,379 382,381 370,411 381,412
6 383,381 392,383 382,412 392,412
plate 292,351 394,373 280,420 394,421
27 121,156 149,161 109,222 140,224
18 151,161 176,165 142,224 169,225
23 178,165 200,169 172,225 195,226
8 211,170 230,173 206,226 227,227
6 232,173 250,176 229,227 248,228
4 252,177 268,179 250,228 267,229
1 270,179 286,182 269,229 285,230
plate 123,132 289,164 103,242 289,244
