12 70,253 82,251 63,277 74,276
27 82,251 95,250 75,276 88,276
30 96,250 110,248 89,276 103,275
9 116,247 131,245 110,275 126,274
1 133,245 150,243 128,274 146,274
2 153,242 172,240 149,274 169,273
1 174,240 196,237 172,273 195,272
plate 72,244 203,222 59,284 203,283
23 148,428 175,431 159,480 184,481
17 177,432 201,435 185,481 208,482
23 202,435 224,438 209,482 229,483
7 233,439 251,442 237,483 254,484
6 253,442 269,444 256,484 271,484
7 271,445 286,447 273,484 287,485
4 287,447 301,449 288,485 301,485
plate 140,403 305,433 159,494 305,495
