21 45,286 62,284 58,318 75,317
22 64,284 84,282 77,317 96,317
24 86,282 107,279 98,317 118,316
6 118,278 144,275 129,316 153,315
2 146,275 174,272 155,315 182,315
0 178,272 210,268 185,315 215,314
3 213,268 250,264 218,314 251,313
plate 37,273 261,240 60,326 262,325
27 314,41 328,40 301,75 316,74
19 329,40 344,38 317,74 333,74
15 346,38 361,37 335,74 352,74
5 368,37 385,36 360,73 378,73
7 387,35 405,34 380,73 399,73
9 407,34 425,33 401,73 422,72
4 427,32 447,31 424,72 446,72
plate 316,30 453,18 295,84 452,83
