17 62,387 91,389 67,445 95,446
22 93,390 120,392 97,446 123,446
10 122,392 147,394 126,446 149,447
5 158,395 181,396 161,447 182,448
1 183,396 205,398 184,448 206,448
6 207,398 227,400 208,448 227,448
4 229,400 249,402 230,449 249,449
plate 57,362 254,382 66,461 254,462
16 323,403 352,404 339,456 365,456
13 354,404 382,405 367,456 392,457
16 384,406 409,407 395,457 418,457
5 422,407 446,408 429,457 452,457
1 448,408 473,409 454,457 477,457
9 475,409 497,410 479,457 500,458
5 500,410 522,411 503,458 523,458
plate 314,379 528,390 341,469 529,470
