13 28,79 57,83 20,148 50,149
19 59,83 87,87 53,149 82,150
26 89,87 113,90 84,150 110,151
3 124,91 147,94 121,151 145,152
5 149,95 169,97 146,152 168,153
9 172,97 191,100 170,153 190,153
1 192,100 210,102 191,153 210,154
plate 27,53 215,84 13,168 215,169
13 320,338 331,338 314,364 325,365
16 332,339 343,339 327,365 339,365
17 344,340 353,340 340,365 350,365
1 358,341 367,341 355,365 365,365
5 368,342 377,342 366,365 375,366
6 378,342 386,343 376,366 385,366
5 387,343 395,344 386,366 395,366
plate 321,329 396,337 311,371 396,372
