18 78,204 94,202 90,233 106,233
22 96,202 115,199 107,233 126,233
21 116,199 137,197 127,232 147,232
1 147,196 172,192 157,232 181,231
4 175,192 203,189 183,231 209,230
4 206,188 239,184 213,230 243,229
4 242,184 280,180 246,229 281,228
plate 71,192 292,156 91,241 292,240
32 302,108 310,107 299,125 306,124
18 311,106 321,105 307,124 317,124
14 321,105 332,103 318,124 329,123
8 338,102 351,99 334,123 348,122
0 353,99 368,96 349,122 365,122
9 370,96 391,92 368,121 389,120
1 392,92 418,87 390,120 417,119
plate 303,102 425,74 297,129 425,128
