26 39,114 69,118 31,185 63,186
22 71,119 100,123 65,187 95,188
11 102,123 127,127 97,188 123,189
1 137,128 160,132 134,189 158,190
2 162,132 182,135 159,190 180,191
0 184,135 203,138 183,191 202,192
1 204,138 221,141 203,192 221,192
plate 38,87 226,122 24,206 226,207
15 251,402 274,404 238,455 262,455
22 276,404 297,406 265,455 288,456
15 299,406 319,408 290,456 312,456
7 327,408 345,410 321,457 341,457
6 347,410 364,412 342,457 361,458
7 366,412 383,413 363,458 381,458
1 384,414 400,415 382,458 399,459
plate 254,383 403,400 231,471 403,472
