13 366,248 388,249 376,289 396,289
32 389,249 410,250 397,289 417,289
19 411,250 431,251 418,289 437,290
3 440,251 459,252 445,290 462,290
6 461,252 479,253 464,290 481,290
3 481,253 498,254 483,290 499,290
8 500,254 517,254 501,290 517,290
plate 359,230 521,238 376,299 521,300
30 246,98 264,101 237,143 256,144
18 266,101 283,104 259,144 277,145
16 284,104 300,106 278,145 295,145
1 306,107 319,109 302,146 316,146
9 321,109 333,111 318,146 331,147
3 335,111 347,113 333,147 346,147
4 347,113 358,114 346,147 358,148
plate 247,82 361,103 231,157 361,158
