18 41,292 61,294 52,332 69,332
17 63,294 83,295 72,332 90,332
24 84,295 103,296 91,332 108,333
0 110,297 127,297 115,333 130,333
1 129,298 144,299 132,333 147,333
9 147,299 162,300 149,333 164,333
1 163,300 179,301 165,333 179,334
plate 34,275 182,287 52,342 182,342
16 228,74 245,73 215,113 233,112
33 246,72 265,71 234,112 254,112
17 267,71 286,69 256,112 277,111
9 296,68 318,66 287,111 311,110
6 320,65 344,63 313,110 338,110
3 347,63 372,60 341,110 368,109
3 374,60 402,58 371,109 401,108
plate 230,61 410,39 209,124 410,124
