10 64,280 78,279 75,304 88,304
21 79,278 94,277 90,304 104,304
14 96,276 112,275 106,304 122,303
8 120,274 139,271 129,303 147,303
9 142,271 164,269 149,302 170,302
5 166,268 192,265 173,302 196,301
7 195,265 225,262 199,301 226,301
plate 58,271 233,244 77,310 234,309
14 206,454 220,455 213,484 226,484
14 222,455 236,457 228,484 241,484
22 238,457 250,458 242,484 253,485
1 255,459 266,460 258,485 268,485
4 267,460 278,461 269,485 280,485
9 279,462 288,463 280,485 289,486
4 289,463 299,464 290,486 299,486
plate 201,441 300,455 214,490 300,490
