25 294,124 319,123 311,171 335,171
31 322,123 348,122 337,171 362,171
15 350,122 378,121 364,171 389,170
5 390,120 419,119 401,170 428,170
8 422,119 452,118 431,170 458,170
7 454,118 485,117 461,170 489,169
0 489,116 521,115 492,169 522,169
plate 283,103 530,90 312,183 530,182
13 16,76 35,74 31,110 50,110
23 38,73 59,71 52,110 72,109
17 61,71 84,69 74,109 96,109
1 96,67 123,65 107,108 133,108
7 126,64 157,61 136,108 165,107
5 159,61 194,57 167,107 199,106
3 198,57 238,53 203,106 239,105
plate 8,61 249,27 33,119 250,118
