14 67,48 82,49 72,79 86,79
21 83,49 98,50 87,79 101,80
18 100,50 114,51 104,80 116,80
4 119,52 132,53 122,80 134,80
1 133,53 145,54 135,80 146,81
8 147,54 158,55 148,81 159,81
2 159,55 170,56 159,81 170,81
plate 63,34 172,46 72,87 172,88
10 236,170 269,173 251,234 281,234
33 271,173 301,177 283,234 311,235
31 304,177 330,180 313,235 338,236
2 343,181 366,184 349,236 371,237
6 369,184 391,186 373,237 394,237
9 393,187 414,189 396,237 415,238
8 416,189 435,191 418,238 435,238
plate 225,140 440,171 252,250 440,251
