25 35,230 56,228 26,277 48,276
30 59,228 81,227 51,276 74,276
29 83,227 106,226 76,276 100,276
7 117,225 141,224 111,275 137,275
9 144,224 170,222 140,275 167,275
9 172,222 199,221 169,275 197,274
4 202,221 230,219 200,274 229,274
plate 36,212 238,198 21,290 237,290
33 330,313 339,312 326,334 335,333
33 340,312 351,310 337,333 348,333
10 352,310 365,309 349,333 361,333
3 370,308 384,306 367,332 381,332
1 386,306 402,304 383,332 399,331
7 404,303 423,301 402,331 422,330
5 424,300 447,297 423,330 446,329
plate 330,306 453,284 324,340 453,339
