20 355,333 363,332 360,347 368,347
21 364,332 373,331 369,347 377,347
19 374,331 384,329 379,347 389,346
6 389,329 401,327 393,346 405,346
4 402,327 416,325 406,346 419,346
7 418,325 434,323 421,345 436,345
9 436,323 455,321 438,345 456,344
plate 352,327 460,309 361,351 460,350
25 79,41 89,42 72,66 83,66
13 90,42 100,42 84,66 95,66
26 101,42 110,43 96,66 106,66
4 115,43 123,43 111,66 121,66
6 124,43 134,44 122,66 132,67
3 135,44 143,44 133,67 142,67
1 144,44 153,45 143,67 153,67
plate 80,34 154,37 69,72 154,72
