23 437,55 445,54 439,70 447,70
15 446,54 455,54 448,70 456,70
19 455,54 463,54 456,70 465,70
3 468,54 477,53 469,70 478,70
9 478,53 487,53 479,70 488,70
3 488,53 498,52 489,70 498,70
3 499,52 508,52 499,70 508,70
plate 434,47 512,43 439,75 512,74
31 75,181 88,179 61,211 75,210
14 90,179 105,176 76,210 91,209
28 106,176 124,172 93,209 110,208
0 133,171 154,167 120,207 142,206
4 157,166 183,161 145,206 172,205
2 185,161 216,155 175,205 209,203
0 220,154 259,147 213,203 256,200
plate 79,171 271,127 56,219 270,217
